ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-1.478221265566384036e-03,-9.793537910513689937e+00
0.000000000000000000e+00,-1.478221305153947516e-03,-9.793537911225559611e+00
0.000000000000000000e+00,-1.478221344741510344e-03,-9.793537911937425733e+00
0.000000000000000000e+00,-1.478221384329073173e-03,-9.793537912649295407e+00
0.000000000000000000e+00,-1.478221423916635134e-03,-9.793537913361163305e+00
0.000000000000000000e+00,-1.478221463504197312e-03,-9.793537914073032979e+00
0.000000000000000000e+00,-1.478221503091758622e-03,-9.793537914784897325e+00
0.000000000000000000e+00,-1.478221542679319499e-03,-9.793537915496768775e+00
0.000000000000000000e+00,-1.478221582266880593e-03,-9.793537916208634897e+00
0.000000000000000000e+00,-1.478221621854440603e-03,-9.793537916920501019e+00
0.000000000000000000e+00,-1.478221661442000829e-03,-9.793537917632368917e+00
0.000000000000000000e+00,-1.478221701029560622e-03,-9.793537918344238591e+00
0.000000000000000000e+00,-1.478221740617119764e-03,-9.793537919056106489e+00
0.000000000000000000e+00,-1.478221780204678690e-03,-9.793537919767974387e+00
0.000000000000000000e+00,-1.478221819792237181e-03,-9.793537920479842285e+00
0.000000000000000000e+00,-1.478221859379795240e-03,-9.793537921191711959e+00
0.000000000000000000e+00,-1.478221898967353081e-03,-9.793537921903578081e+00
0.000000000000000000e+00,-1.478221938554910488e-03,-9.793537922615447755e+00
0.000000000000000000e+00,-1.478221978142467245e-03,-9.793537923327315653e+00
0.000000000000000000e+00,-1.478222017730024219e-03,-9.793537924039183551e+00
0.000000000000000000e+00,-1.478222057317580542e-03,-9.793537924751047896e+00
0.000000000000000000e+00,-1.478222096905136215e-03,-9.793537925462919347e+00
0.000000000000000000e+00,-1.478222136492692105e-03,-9.793537926174787245e+00
0.000000000000000000e+00,-1.478222176080247344e-03,-9.793537926886656919e+00
0.000000000000000000e+00,-1.478222215667801716e-03,-9.793537927598523041e+00
0.000000000000000000e+00,-1.478222255255356521e-03,-9.793537928310390939e+00
0.000000000000000000e+00,-1.478222294842910459e-03,-9.793537929022258837e+00
0.000000000000000000e+00,-1.478222334430463964e-03,-9.793537929734130287e+00
0.000000000000000000e+00,-1.478222374018017251e-03,-9.793537930445996409e+00
0.000000000000000000e+00,-1.478222413605570322e-03,-9.793537931157866083e+00
0.000000000000000000e+00,-1.478222453193122742e-03,-9.793537931869732205e+00
0.000000000000000000e+00,-1.478222492780675162e-03,-9.793537932581600103e+00
0.000000000000000000e+00,-1.478222532368226932e-03,-9.793537933293466224e+00
0.000000000000000000e+00,-1.478222571955778051e-03,-9.793537934005337675e+00
0.000000000000000000e+00,-1.478222611543329387e-03,-9.793537934717205573e+00
0.000000000000000000e+00,-1.478222651130880073e-03,-9.793537935429075247e+00
0.000000000000000000e+00,-1.478222690718430758e-03,-9.793537936140941369e+00
0.000000000000000000e+00,-1.478222730305980359e-03,-9.793537936852811043e+00
0.000000000000000000e+00,-1.478222769893529961e-03,-9.793537937564678941e+00
0.000000000000000000e+00,-1.478222809481079128e-03,-9.793537938276548616e+00
0.000000000000000000e+00,-1.478222849068628079e-03,-9.793537938988412961e+00
0.000000000000000000e+00,-1.478222888656176596e-03,-9.793537939700282635e+00
0.000000000000000000e+00,-1.478222928243724463e-03,-9.793537940412150533e+00
