ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
0.000000000000000000e+00,-9.232129878792508237e-02,-9.793165664232713397e+00
0.000000000000000000e+00,-9.402851201325707065e-02,-9.793149421317179915e+00
0.000000000000000000e+00,-9.573592390174646971e-02,-9.793132878818255449e+00
0.000000000000000000e+00,-9.744351424843833431e-02,-9.793116036831554183e+00
0.000000000000000000e+00,-9.915126486368180947e-02,-9.793098895446343377e+00
0.000000000000000000e+00,-1.008591593715987417e-01,-9.793081454745861336e+00
0.000000000000000000e+00,-1.025671830287055025e-01,-9.793063714807640707e+00
0.000000000000000000e+00,-1.042753225606725259e-01,-9.793045675703821118e+00
0.000000000000000000e+00,-1.059835660154081899e-01,-9.793027337501468921e+00
0.000000000000000000e+00,-1.076919026308340993e-01,-9.793008700262866739e+00
0.000000000000000000e+00,-1.094003227158830555e-01,-9.792989764045815448e+00
0.000000000000000000e+00,-1.111088175433972980e-01,-9.792970528903911287e+00
0.000000000000000000e+00,-1.128173792537368048e-01,-9.792950994886821192e+00
0.000000000000000000e+00,-1.145260007680269643e-01,-9.792931162040533266e+00
0.000000000000000000e+00,-1.162346757100814337e-01,-9.792911030407609019e+00
0.000000000000000000e+00,-1.179433983361327515e-01,-9.792890600027419623e+00
0.000000000000000000e+00,-1.196521634715900645e-01,-9.792869870936355525e+00
0.000000000000000000e+00,-1.213609664541208527e-01,-9.792848843168048489e+00
0.000000000000000000e+00,-1.230698030824247668e-01,-9.792827516753561667e+00
0.000000000000000000e+00,-1.247786695701299658e-01,-9.792805891721574341e+00
0.000000000000000000e+00,-1.264875625042999607e-01,-9.792783968098559555e+00
0.000000000000000000e+00,-1.281964788080896256e-01,-9.792761745908947546e+00
0.000000000000000000e+00,-1.299054157071359294e-01,-9.792739225175273177e+00
0.000000000000000000e+00,-1.316143706993092577e-01,-9.792716405918323375e+00
0.000000000000000000e+00,-1.333233415274898415e-01,-9.792693288157266807e+00
0.000000000000000000e+00,-1.350323261550666065e-01,-9.792669871909785329e+00
0.000000000000000000e+00,-1.367413227438860901e-01,-9.792646157192177014e+00
0.000000000000000000e+00,-1.384503296344063439e-01,-9.792622144019475172e+00
0.000000000000000000e+00,-1.401593453278356105e-01,-9.792597832405542491e+00
0.000000000000000000e+00,-1.418683684700573766e-01,-9.792573222363165186e+00
0.000000000000000000e+00,-1.435773978371623349e-01,-9.792548313904138269e+00
0.000000000000000000e+00,-1.452864323224277443e-01,-9.792523107039343699e+00
0.000000000000000000e+00,-1.469954709245985813e-01,-9.792497601778828553e+00
0.000000000000000000e+00,-1.487045127373406717e-01,-9.792471798131868965e+00
0.000000000000000000e+00,-1.504135569397484773e-01,-9.792445696107035857e+00
0.000000000000000000e+00,-1.521226027878020692e-01,-9.792419295712246452e+00
0.000000000000000000e+00,-1.538316496066786665e-01,-9.792392596954829997e+00
0.000000000000000000e+00,-1.555406967838325882e-01,-9.792365599841565071e+00
0.000000000000000000e+00,-1.572497437627676797e-01,-9.792338304378734648e+00
0.000000000000000000e+00,-1.589587900374321849e-01,-9.792310710572163401e+00
0.000000000000000000e+00,-1.606678351471743371e-01,-9.792282818427253233e+00
0.000000000000000000e+00,-1.623768786722021018e-01,-9.792254627949027679e+00
0.000000000000000000e+00,-1.640859202294975561e-01,-9.792226139142156782e+00
0.000000000000000000e+00,-1.657949594691389139e-01,-9.792197352010992617e+00
0.000000000000000000e+00,-1.675039960709913955e-01,-9.792168266559594159e+00
0.000000000000000000e+00,-1.692130297417280271e-01,-9.792138882791752152e+00
0.000000000000000000e+00,-1.709220602121492294e-01,-9.792109200711013983e+00
