ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
4.005153775207320188e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.104638397686588003e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.204174557917929045e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.303757102126136158e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.403381391913522291e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.503043252722169765e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.602738927449952500e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.702465034704957358e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.802218531234461740e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.901996678111015249e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.001797010299913193e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.101617309269921297e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.201455578342929487e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.301310020508636089e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.401179018457772374e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.501061116611994928e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.600955004950795013e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.700859504455715321e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.800773554010143496e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.900696198609128862e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000626578748216033e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.100563920873394164e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.200507528786054490e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.300456775907449236e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.400411098316703962e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500369988485033002e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.600332989636529257e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.700299690672876229e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.800269721605588513e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.900242749445029133e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.000218474500525812e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.100196627050473497e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.200176964345426089e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.300159267910882877e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.400143341119794771e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500129007007815263e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.600116106307033270e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.700104495676329819e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.800094046108696499e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.900084641497826521e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000076177348043327e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.100068559613238239e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.200061703651914113e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.300055533286722076e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.400049979958049695e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500044981962244783e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.600040483766020483e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.700036435389417733e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.800032791850476155e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.900029512665428300e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.000026561398885017e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.100023905258995960e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.200021514733096595e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.300019363259787175e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.400017426933808817e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500015684240428193e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.600014115816385418e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.700012704234747263e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.800011433811272044e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.900010290430144577e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000926138713053e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010000833524841823e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.020000750172357584e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.030000675155121836e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.040000607639609553e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.050000546875648588e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060000492188083676e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.070000442969275323e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.080000398672347872e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.090000358805113034e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000322924601814e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.110000290632141562e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.120000261568927291e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.130000235412034648e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.140000211870831226e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.150000190683748036e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.160000171615373166e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.170000154453835872e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.180000139008452242e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.190000125107607110e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000112596846469e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.210000101337161738e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.220000091203445658e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.230000082083101187e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.240000073874791164e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250000066487312100e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.260000059838580988e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.270000053854722921e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.280000048469250640e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.290000043622325565e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000039260092999e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.310000035334083712e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.320000031800675266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.330000028620607733e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.340000025758546931e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.350000023182692299e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.360000020864423176e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.370000018777980832e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.380000016900182702e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.390000015210164364e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000013689147949e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.410000012320233198e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.420000011088209835e+00,0.000000000000000000e+00,0.000000000000000000e+00
