q0 (),q1,q2,q3
9.999965392039764644e-01,2.630889596680536114e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999963093130939118e-01,2.716865876534766376e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999960716687249507e-01,2.802971123336153378e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999958262748190885e-01,2.889192437654489101e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999955731358926014e-01,2.975518209936399341e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999953122568805419e-01,3.061937991517716708e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999950436430118383e-01,3.148442378534594722e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999947672997036019e-01,3.235022907443508081e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999944832324744182e-01,3.321671960989238271e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999941914468715165e-01,3.408382683576053566e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999938919484114841e-01,3.495148905101767844e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999935847425323043e-01,3.581965072408385166e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999932698345550541e-01,3.668826187587677194e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999929472296539279e-01,3.755727752456197114e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999926169328328118e-01,3.842665718582793412e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999922789489082975e-01,3.929636442313365861e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999919332824979135e-01,4.016636644293148858e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999915799380116876e-01,4.103663373036760785e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999912189196481505e-01,4.190713972141250736e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999908502313927805e-01,4.277786050777837232e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999904738770185597e-01,4.364877457134479222e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999900898600894150e-01,4.451986254514180355e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999896981839636600e-01,4.539110699823469854e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999892988518004344e-01,4.626249224212035903e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999888918665655879e-01,4.713400415648391108e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999884772310388970e-01,4.800563003237976606e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999880549478218361e-01,4.887735843109453603e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999876250193456828e-01,4.974917905712367659e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999871874478790668e-01,5.062108264385046033e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999867422355369628e-01,5.149306085065708145e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999862893842883516e-01,5.236510617032462227e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999858288959644348e-01,5.323721184569307763e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999853607722664073e-01,5.410937179465532057e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999848850147737833e-01,5.498158054265171735e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999844016249509471e-01,5.585383316191532346e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999839106041551462e-01,5.672612521679245429e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999834119536428201e-01,5.759845271453132957e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999829056745767053e-01,5.847081206099179022e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999823917680314977e-01,5.934320002078403294e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999818702350006250e-01,6.021561368139354865e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999813410764011312e-01,6.108805042089350372e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999808042930793395e-01,6.196050787888590997e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999802598858159586e-01,6.283298393034869068e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999797078553307461e-01,6.370547666209804179e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999791482022867273e-01,6.457798435160455250e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999785809272947468e-01,6.545050544792772700e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999780060309171326e-01,6.632303855455702786e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999774235136713596e-01,6.719558241396887330e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999768333760334915e-01,6.806813589372788520e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999762356184414003e-01,6.894069797397805836e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999756302412974307e-01,6.981326773618475208e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999750172449715091e-01,7.068584435300258664e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999743966298034747e-01,7.155842707915643572e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999737683961056334e-01,7.243101524323439754e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999731325441646446e-01,7.330360824030146376e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999724890742438532e-01,7.417620552525179892e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999718379865849549e-01,7.504880660682580057e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999711792814098832e-01,7.592141104222546559e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999705129589223640e-01,7.679401843226821463e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999698390193092479e-01,7.766662841702532891e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999691574627423973e-01,7.853924067189658326e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999684682893791310e-01,7.941185490407731695e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999677714993639999e-01,8.028447084937892844e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999670670928300087e-01,8.115708826936726683e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999663550698988379e-01,8.202970694878710528e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999656354306823980e-01,8.290232669324430759e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999649081752836066e-01,8.377494732711970177e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999641733037968327e-01,8.464756869169151945e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999634308163088958e-01,8.552019064344579258e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999626807128997319e-01,8.639281305255534782e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999619229936426157e-01,8.726543580151131796e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999611576586052708e-01,8.813805878389124535e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999603847078498697e-01,8.901068190325035073e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999596041414338110e-01,8.988330507212392850e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999588159594100523e-01,9.075592821112919359e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999580201618274433e-01,9.162855124815712585e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999572167487309482e-01,9.250117411764513520e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999564057201625333e-01,9.337379675992232494e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999555870761608345e-01,9.424641912062046642e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999547608167614898e-01,9.511904115014357258e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999539269419980281e-01,9.599166280319074498e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999530854519013134e-01,9.686428403832669093e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999522363465001007e-01,9.773690481759512300e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999513796258212572e-01,9.860952510617084291e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999505152898899851e-01,9.948214487204665862e-03,0.000000000000000000e+00,0.000000000000000000e+00
9.999496433387298211e-01,1.003547640857515959e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999487637723626365e-01,1.012273827200972469e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999478765908094147e-01,1.021000007499495155e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999469817940894734e-01,1.029726181520232257e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999460793822214644e-01,1.038452349046971486e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999451693552225962e-01,1.047178509878476937e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999442517131096331e-01,1.055904663826990816e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999433264558983403e-01,1.064630810716886249e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999423935836035948e-01,1.073356950383453495e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999414530962398295e-01,1.082083082671808465e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999405049938208112e-01,1.090809207435910685e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999395492763597515e-01,1.099535324537678424e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999385859438693069e-01,1.108261433846192447e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999376149963619120e-01,1.116987535236980619e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999366364338494462e-01,1.125713628591372764e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.999356502563433446e-01,1.134439713795920568e-02,0.000000000000000000e+00,0.000000000000000000e+00
