ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.045040451522837799e+01,1.144701088288018553e+02,0.000000000000000000e+00,1.335438447955838548e+01,6.830842932766799436e+00,0.000000000000000000e+00
3.045041651741428979e+01,1.144701160387668040e+02,0.000000000000000000e+00,1.324544276483401539e+01,7.039761783150495944e+00,0.000000000000000000e+00
3.045042842000198746e+01,1.144701234654392437e+02,0.000000000000000000e+00,1.313323293530323710e+01,7.246943677652415872e+00,0.000000000000000000e+00
3.045044022005468776e+01,1.144701311069868126e+02,0.000000000000000000e+00,1.301778267706245451e+01,7.452337497240222319e+00,0.000000000000000000e+00
3.045045191466091694e+01,1.144701389615241141e+02,0.000000000000000000e+00,1.289912047573537102e+01,7.655892564062305006e+00,0.000000000000000000e+00
3.045046350093520005e+01,1.144701470271131711e+02,0.000000000000000000e+00,1.277727560944458318e+01,7.857558653951782546e+00,0.000000000000000000e+00
3.045047497601878561e+01,1.144701553017639952e+02,0.000000000000000000e+00,1.265227814158764197e+01,8.057286008818573819e+00,0.000000000000000000e+00
3.045048633708039176e+01,1.144701637834349697e+02,0.000000000000000000e+00,1.252415891341936849e+01,8.255025348926446682e+00,0.000000000000000000e+00
3.045049758131682438e+01,1.144701724700334040e+02,0.000000000000000000e+00,1.239294953644222019e+01,8.450727885052067734e+00,0.000000000000000000e+00
3.045050870595375514e+01,1.144701813594160313e+02,0.000000000000000000e+00,1.225868238460663839e+01,8.644345330523007576e+00,0.000000000000000000e+00
3.045051970824633614e+01,1.144701904493895910e+02,0.000000000000000000e+00,1.212139058632325650e+01,8.835829913131757252e+00,0.000000000000000000e+00
3.045053058547992109e+01,1.144701997377112832e+02,0.000000000000000000e+00,1.198110801628896027e+01,9.025134386922800900e+00,0.000000000000000000e+00
3.045054133497071192e+01,1.144702092220894087e+02,0.000000000000000000e+00,1.183786928712881092e+01,9.212212043849858034e+00,0.000000000000000000e+00
3.045055195406644444e+01,1.144702189001838377e+02,0.000000000000000000e+00,1.169170974085590586e+01,9.397016725300382234e+00,0.000000000000000000e+00
3.045056244014699942e+01,1.144702287696066918e+02,0.000000000000000000e+00,1.154266544015125184e+01,9.579502833484518476e+00,0.000000000000000000e+00
3.045057279062510602e+01,1.144702388279228700e+02,0.000000000000000000e+00,1.139077315946584967e+01,9.759625342685669835e+00,0.000000000000000000e+00
3.045058300294694220e+01,1.144702490726506454e+02,0.000000000000000000e+00,1.123607037594714875e+01,9.937339810369921977e+00,0.000000000000000000e+00
3.045059307459275999e+01,1.144702595012623192e+02,0.000000000000000000e+00,1.107859526019211138e+01,1.011260238815157209e+01,0.000000000000000000e+00
3.045060300307753565e+01,1.144702701111848029e+02,0.000000000000000000e+00,1.091838666682920156e+01,1.028536983261206395e+01,0.000000000000000000e+00
3.045061278595156651e+01,1.144702808998002865e+02,0.000000000000000000e+00,1.075548412493157713e+01,1.045559951596965220e+01,0.000000000000000000e+00
3.045062242080107850e+01,1.144702918644468497e+02,0.000000000000000000e+00,1.058992782826389067e+01,1.062324943659716858e+01,0.000000000000000000e+00
3.045063190524881591e+01,1.144703030024191435e+02,0.000000000000000000e+00,1.042175862536507047e+01,1.078827822938529657e+01,0.000000000000000000e+00
3.045064123695463110e+01,1.144703143109690728e+02,0.000000000000000000e+00,1.025101800946956487e+01,1.095064517594879661e+01,0.000000000000000000e+00
3.045065041361606362e+01,1.144703257873064501e+02,0.000000000000000000e+00,1.007774810826949619e+01,1.111031021467315227e+01,0.000000000000000000e+00
3.045065943296891575e+01,1.144703374285996347e+02,0.000000000000000000e+00,9.901991673520292636e+00,1.126723395059917898e+01,0.000000000000000000e+00
3.045066829278778897e+01,1.144703492319763285e+02,0.000000000000000000e+00,9.723792070492331518e+00,1.142137766514313491e+01,0.000000000000000000e+00
3.045067699088667368e+01,1.144703611945242585e+02,0.000000000000000000e+00,9.543193267271201208e+00,1.157270332564995918e+01,0.000000000000000000e+00
3.045068552511942528e+01,1.144703733132918444e+02,0.000000000000000000e+00,9.360239823909235923e+00,1.172117359477725529e+01,0.000000000000000000e+00
3.045069389338036103e+01,1.144703855852889518e+02,0.000000000000000000e+00,9.174976881430998432e+00,1.186675183970772807e+01,0.000000000000000000e+00
3.045070209360473967e+01,1.144703980074876881e+02,0.000000000000000000e+00,8.987450150695391216e+00,1.200940214118776872e+01,0.000000000000000000e+00
3.045071012376927300e+01,1.144704105768230420e+02,0.000000000000000000e+00,8.797705901117204519e+00,1.214908930239001528e+01,0.000000000000000000e+00
3.045071798189264811e+01,1.144704232901937075e+02,0.000000000000000000e+00,8.605790949250817334e+00,1.228577885759762189e+01,0.000000000000000000e+00
3.045072566603597153e+01,1.144704361444628802e+02,0.000000000000000000e+00,8.411752647238914804e+00,1.241943708070817287e+01,0.000000000000000000e+00
