q0 (),q1,q2,q3
9.998182112447909775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.906684198461928645e-02
9.998033612281788107e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.983025155755285124e-02
9.997878833240431140e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.059583352111908280e-02
9.997717771910844542e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.136336893330655073e-02
9.997550426631753862e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.213266069754053419e-02
9.997376797192373266e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.290353137827695965e-02
9.997196884571433184e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.367582123501436875e-02
9.997010690711886083e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.444938645288487547e-02
9.996818218327166994e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.522409755016884539e-02
9.996619470735251811e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.599983794504324291e-02
9.996414451717159366e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.677650266564233356e-02
9.996203165396865264e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.755399718910133897e-02
9.995985616139922980e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.833223639668639576e-02
9.995761808468404119e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.911114363340358557e-02
9.995531746989996247e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.989064986164043786e-02
9.995295436339379780e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.067069289943766264e-02
9.995052881130207512e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.145121673492914938e-02
9.994804085916199066e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.223217090933413326e-02
9.994549055160079076e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.301350996164707785e-02
9.994287793209185589e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.379519292885611176e-02
9.994020304276788336e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.457718289613764817e-02
9.993746592428214282e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.535944659203008739e-02
9.993466661571052123e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.614195402408895696e-02
9.993180515448757406e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.692467815097581069e-02
9.992888157637095370e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.770759458733762698e-02
9.992589591542931915e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.849068133819803089e-02
9.992284820404938595e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.927391855990919334e-02
9.991973847295863020e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.005728834500861535e-02
9.991656675126026066e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.084077452859033452e-02
9.991333306647816048e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.162436251403930920e-02
9.991003744460911218e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.240803911619261957e-02
9.990667991018076233e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.319179242018499759e-02
9.990326048631348321e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.397561165441016967e-02
9.989977919478484347e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.475948707618657152e-02
9.989623605609558865e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.554340986885695164e-02
9.989263108953617687e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.632737204917850710e-02
9.988896431325309244e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.711136638397448589e-02
9.988523574431434904e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.789538631512121197e-02
9.988144539877372718e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.867942589203677617e-02
9.987759329173322431e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.946347971092146523e-02
9.987367943740357301e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.024754286007455939e-02
9.986970384916256105e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.103161087067991514e-02
9.986566653961087558e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.181567967251347190e-02
9.986156752062557151e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.259974555408038210e-02
9.985740680341095299e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.338380512673891742e-02
9.985318439854686812e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.416785529241230357e-02
9.984890031603447236e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.495189321452979142e-02
