ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.491699800302938073e+01,1.575807912664956678e+00,0.000000000000000000e+00
1.491450508050571067e+01,1.599230503576434703e+00,0.000000000000000000e+00
1.491197530359060863e+01,1.622649852896114631e+00,0.000000000000000000e+00
1.490940868296416610e+01,1.646065832326486955e+00,0.000000000000000000e+00
1.490680522905315541e+01,1.669478320635961355e+00,0.000000000000000000e+00
1.490416495205545822e+01,1.692887202952910730e+00,0.000000000000000000e+00
1.490148786196305686e+01,1.716292370130361844e+00,0.000000000000000000e+00
1.489877396858362246e+01,1.739693718174265324e+00,0.000000000000000000e+00
1.489602328156074407e+01,1.763091147728981456e+00,0.000000000000000000e+00
1.489323581039284861e+01,1.786484563614261889e+00,0.000000000000000000e+00
1.489041156445090586e+01,1.809873874408576722e+00,0.000000000000000000e+00
1.488755055299491836e+01,1.833258992074143778e+00,0.000000000000000000e+00
1.488465278518931179e+01,1.856639831619497194e+00,0.000000000000000000e+00
1.488171827011725235e+01,1.880016310795832091e+00,0.000000000000000000e+00
1.487874701679396061e+01,1.903388349823752934e+00,0.000000000000000000e+00
1.487573903417907850e+01,1.926755871147377563e+00,0.000000000000000000e+00
1.487269433118813922e+01,1.950118799213064413e+00,0.000000000000000000e+00
1.486961291670320939e+01,1.973477060270296235e+00,0.000000000000000000e+00
1.486649479958274256e+01,1.996830582192505643e+00,0.000000000000000000e+00
1.486333998867070072e+01,2.020179294315847862e+00,0.000000000000000000e+00
1.486014849280497785e+01,2.043523127294120556e+00,0.000000000000000000e+00
1.485692032082520520e+01,2.066862012968219808e+00,0.000000000000000000e+00
1.485365548157994375e+01,2.090195884248677416e+00,0.000000000000000000e+00
1.485035398393331363e+01,2.113524675009964326e+00,0.000000000000000000e+00
1.484701583677113490e+01,2.136848319995392043e+00,0.000000000000000000e+00
1.484364104900656045e+01,2.160166754731544625e+00,0.000000000000000000e+00
1.484022962958527891e+01,2.183479915451289610e+00,0.000000000000000000e+00
1.483678158749029663e+01,2.206787739024510309e+00,0.000000000000000000e+00
1.483329693174634301e+01,2.230090162895787209e+00,0.000000000000000000e+00
1.482977567142391351e+01,2.253387125028326388e+00,0.000000000000000000e+00
1.482621781564300001e+01,2.276678563853523407e+00,0.000000000000000000e+00
1.482262337357649606e+01,2.299964418225581841e+00,0.000000000000000000e+00
1.481899235445334639e+01,2.323244627380694372e+00,0.000000000000000000e+00
1.481532476756141747e+01,2.346519130900324157e+00,0.000000000000000000e+00
1.481162062225014431e+01,2.369787868678172593e+00,0.000000000000000000e+00
1.480787992793294805e+01,2.393050780890472407e+00,0.000000000000000000e+00
1.480410269408945823e+01,2.416307807969267696e+00,0.000000000000000000e+00
1.480028893026754311e+01,2.439558890578381156e+00,0.000000000000000000e+00
1.479643864608517312e+01,2.462803969591806474e+00,0.000000000000000000e+00
1.479255185123212257e+01,2.486042986074272321e+00,0.000000000000000000e+00
1.478862855547152932e+01,2.509275881263770991e+00,0.000000000000000000e+00
1.478466876864131407e+01,2.532502596555848751e+00,0.000000000000000000e+00
1.478067250065549310e+01,2.555723073489484243e+00,0.000000000000000000e+00
1.477663976150535063e+01,2.578937253734392865e+00,0.000000000000000000e+00
1.477257056126054557e+01,2.602145079079621226e+00,0.000000000000000000e+00
1.476846491007008488e+01,2.625346491423291351e+00,0.000000000000000000e+00
1.476432281816323666e+01,2.648541432763390713e+00,0.000000000000000000e+00
1.476014429585035259e+01,2.671729845189498409e+00,0.000000000000000000e+00
1.475592935352361401e+01,2.694911670875351994e+00,0.000000000000000000e+00
1.475167800165772292e+01,2.718086852072172377e+00,0.000000000000000000e+00
1.474739025081052013e+01,2.741255331102676163e+00,0.000000000000000000e+00
1.474306611162354841e+01,2.764417050355695959e+00,0.000000000000000000e+00
1.473870559482257647e+01,2.787571952281355347e+00,0.000000000000000000e+00
1.473430871121805197e+01,2.810719979386743894e+00,0.000000000000000000e+00
1.472987547170553846e+01,2.833861074232035815e+00,0.000000000000000000e+00
1.472540588726608846e+01,2.856995179427013198e+00,0.000000000000000000e+00
1.472089996896660402e+01,2.880122237627951165e+00,0.000000000000000000e+00
1.471635772796013697e+01,2.903242191534830319e+00,0.000000000000000000e+00
1.471177917548618375e+01,2.926354983888840522e+00,0.000000000000000000e+00
1.470716432287094122e+01,2.949460557470148458e+00,0.000000000000000000e+00
1.470251318152753406e+01,2.972558855095907226e+00,0.000000000000000000e+00
1.469782576295622789e+01,2.995649819618472876e+00,0.000000000000000000e+00
1.469310207874461049e+01,3.018733393923818120e+00,0.000000000000000000e+00
1.468834214056776588e+01,3.041809520930119248e+00,0.000000000000000000e+00
1.468354596018842528e+01,3.064878143586495796e+00,0.000000000000000000e+00
1.467871354945708973e+01,3.087939204871892329e+00,0.000000000000000000e+00
1.467384492031216681e+01,3.110992647794085908e+00,0.000000000000000000e+00
1.466894008478005951e+01,3.134038415388805898e+00,0.000000000000000000e+00
